Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,Normal,Normal,Normal,
Stun,Stun,Stun,Stun,Stun,Stun,Stun,Stun,Stun,Normal,Nothing,Nothing,Nothing,Overflow,Normal,Normal,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Overflow,Normal,Normal,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Overflow,Normal,Normal,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Overflow,Normal,Normal,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Overflow,Normal,Normal,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Overflow,Normal,Normal,
OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,Normal,Normal,Normal,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,InPhase,Stun,Stun,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,InPhase,Stun,Stun,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,InPhase,Stun,Stun,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,InPhase,Stun,Stun,
Nothing,Nothing,Nothing,Speedup,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,Normal,Normal,Normal,
Nothing,Nothing,Nothing,Speedup,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Overflow,Normal,Normal,
Nothing,Nothing,Nothing,Speedup,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Overflow,Normal,Normal,
Nothing,Nothing,Nothing,Speedup,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Overflow,Normal,Normal,
