Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,Nothing,Nothing,Speedup,Normal,Normal,
Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,InPhase,Nothing,Nothing,Nothing,Nothing,Nothing,Speedup,Normal,Normal,
Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,InPhase,Nothing,Nothing,Nothing,Nothing,Nothing,Speedup,Normal,Normal,
Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,InPhase,Nothing,Nothing,Nothing,Nothing,Nothing,Speedup,Normal,Normal,
Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,InPhase,InPhase,InPhase,Nothing,Nothing,Nothing,Speedup,Normal,Normal,
Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,Nothing,Nothing,InPhase,Nothing,Nothing,Nothing,Nothing,Normal,Normal,
Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,Nothing,Nothing,InPhase,Nothing,Nothing,Nothing,Nothing,Normal,Normal,
Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,Nothing,Nothing,InPhase,Nothing,Nothing,Nothing,Nothing,Normal,Normal,
Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,Nothing,Nothing,Normal,Normal,Nothing,Nothing,Nothing,Normal,Normal,
Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,Nothing,Nothing,InPhase,Stun,Normal,Nothing,Nothing,OutOfPhase,Stun,
Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,Nothing,Nothing,InPhase,Stun,Normal,Nothing,Nothing,OutOfPhase,Stun,
Normal,Normal,Normal,Normal,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,OutOfPhase,InPhase,Stun,Normal,Nothing,Nothing,OutOfPhase,Stun,
Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,Nothing,Nothing,InPhase,Stun,Normal,Nothing,Nothing,OutOfPhase,Stun,
Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,Nothing,Nothing,InPhase,Stun,Normal,Nothing,Nothing,OutOfPhase,Stun,
Normal,Normal,Normal,Normal,Nothing,Nothing,Nothing,Nothing,Nothing,InPhase,Stun,Normal,Nothing,Nothing,OutOfPhase,Stun,
Normal,Normal,Normal,Normal,InPhase,InPhase,InPhase,InPhase,InPhase,Normal,Normal,Normal,Nothing,Nothing,Normal,Normal,
